-------------|-------------|----|--------|----------|--------|----------|----|----------|-----|-----|--------|----------------|----------------|--------|--------
PNG          |Name         |Ref |Lam_lab |Ion       |Lam_obs |F(lambda) |F_Er|I(lambda) |I_Em |I_Ep |Mult    |Lower Term      |Upper Term      |g1      |g2      
-------------|-------------|----|--------|----------|--------|----------|----|----------|-----|-----|--------|----------------|----------------|--------|--------
PNG003.1+02.9|Hb 4 (shell) |D21 |4685.68 |He II     |4684.31 |11.928    |0.3 |14.339    |-0.3 |0.4  |3.4     |3d+ 2D          |4f+ 2F*         |18      |32      
PNG003.1+02.9|Hb 4 (shell) |D21 |4711.37 |[Ar IV]   |4709.91 |1.727     |2.3 |2.021     |-2.4 |2.6  |F1      |3p3 4S*         |3p3 2D*         |4       |6       
PNG003.1+02.9|Hb 4 (shell) |D21 |4733.91 |[Fe III]  |4732.13 |0.020     |23.5|0.023     |-24.4|25.3 |F3      |3d6 5D          |3d6 3F2         |5       |5       
PNG003.1+02.9|Hb 4 (shell) |D21 |4740.17 |[Ar IV]   |4738.81 |2.316     |0.9 |2.630     |-0.9 |1.0  |F1      |3p3 4S*         |3p3 2D*         |4       |4       
PNG003.1+02.9|Hb 4 (shell) |D21 |4861.33 |H 4       |4860.04 |100.000   |0.3 |100.007   |-0.3 |0.3  |H4      |2p+ 2P*         |4d+ 2D          |8       |32      
PNG003.1+02.9|Hb 4 (shell) |D21 |4958.91 |[O III]   |4957.72 |440.284   |0.3 |397.561   |-0.3 |0.3  |F1      |2p2 3P          |2p2 1D          |3       |5       
PNG003.1+02.9|Hb 4 (shell) |D21 |5006.84 |[O III]   |5005.68 |1381.826  |0.3 |1186.822  |-0.3 |0.3  |F1      |2p2 3P          |2p2 1D          |5       |5       
PNG003.1+02.9|Hb 4 (shell) |D21 |5270.40 |[Fe III]  |5269.11 |0.063     |15.6|0.041     |-17.3|16.9 |F1      |3d6 5D          |3d6 3P2         |7       |5       
PNG003.1+02.9|Hb 4 (shell) |D21 |5411.52 |He II     |5410.43 |1.870     |1.0 |1.059     |-1.2 |1.2  |4.7     |4f+ 2F*         |7g+ 2G          |32      |98      
PNG003.1+02.9|Hb 4 (shell) |D21 |5517.66 |[Cl III]  |5516.60 |1.159     |2.8 |0.601     |-3.2 |3.1  |F1      |2p3 4S*         |2p3 2D*         |4       |6       
