-------------|-------------|------------|----------|--------|----|------------|------------|------------
PNG          |Name         |Ion         |Line      |Lam_lab |Wght|Abund       |Abund_Em    |Abund_Ep    
-------------|-------------|------------|----------|--------|----|------------|------------|------------
PNG306.4-00.6|Th 2-A       |O^0         |[O I]     |6300.34 |3   |1.41873e-05 |-7.34079e-07|6.69778e-07 
PNG306.4-00.6|Th 2-A       |O^0         |[O I]     |6363.78 |1   |1.44186e-05 |-7.17864e-07|8.16607e-07 
PNG306.4-00.6|Th 2-A       |O^+         |[O II]    |3728.82 |1   |2.40297e-04 |-4.54400e-06|4.67321e-06 
PNG306.4-00.6|Th 2-A       |O^2+        |[O III]   |4958.91 |1   |3.19539e-04 |-2.86552e-06|2.42275e-06 
PNG306.4-00.6|Th 2-A       |O^2+        |[O III]   |5006.84 |3   |3.16439e-04 |-2.52210e-06|2.53967e-06 
PNG306.4-00.6|Th 2-A       |Ne^2+       |[Ne III]  |3868.75 |3   |1.16298e-04 |-1.95421e-06|2.00825e-06 
PNG306.4-00.6|Th 2-A       |Ne^2+       |[Ne III]  |3967.46 |1   |1.58867e-04 |-2.55064e-06|2.56269e-06 
PNG306.4-00.6|Th 2-A       |S^+         |[S II]    |6716.44 |1   |4.92869e-07 |-1.49507e-08|1.60475e-08 
PNG306.4-00.6|Th 2-A       |S^+         |[S II]    |6730.82 |1   |4.93207e-07 |-1.87740e-08|1.79739e-08 
PNG306.4-00.6|Th 2-A       |S^2+        |[S III]   |6312.10 |1   |2.75051e-06 |-7.36778e-08|6.92867e-08 
PNG306.4-00.6|Th 2-A       |S^2+        |[S III]   |9068.60 |11  |2.69523e-06 |-1.15191e-07|1.28861e-07 
PNG306.4-00.6|Th 2-A       |Cl^2+       |[Cl III]  |5517.66 |1   |8.71729e-08 |-3.38323e-09|3.05074e-09 
PNG306.4-00.6|Th 2-A       |Ar^2+       |[Ar III]  |7135.80 |4   |1.52945e-06 |-5.43592e-08|4.63658e-08 
PNG306.4-00.6|Th 2-A       |Ar^2+       |[Ar III]  |7751.43 |1   |1.24766e-06 |-4.37827e-08|4.74240e-08 
PNG306.4-00.6|Th 2-A       |Ar^3+       |[Ar IV]   |4711.37 |1   |3.33967e-07 |-1.22932e-08|1.27573e-08 
PNG306.4-00.6|Th 2-A       |Ar^3+       |[Ar IV]   |4740.17 |1   |2.74498e-07 |-1.70964e-08|1.55379e-08 
PNG306.4-00.6|Th 2-A       |Fe^2+       |[Fe III]  |4881.11 |1   |1.69473e-06 |-1.59367e-07|1.77329e-07 
PNG306.4-00.6|Th 2-A       |Fe^2+       |[Fe III]  |5270.40 |1   |8.22264e-07 |-1.76351e-07|1.73350e-07 
PNG285.4+01.5|Pe 1-1       |N^+         |[N II]    |6548.10 |1   |3.30288e-05 |-2.83028e-07|3.38360e-07 
PNG285.4+01.5|Pe 1-1       |N^+         |[N II]    |6583.50 |3   |3.58063e-05 |-3.18973e-07|3.68707e-07 
PNG285.4+01.5|Pe 1-1       |O^0         |[O I]     |6300.34 |3   |2.40088e-05 |-1.72504e-07|2.17611e-07 
PNG285.4+01.5|Pe 1-1       |O^0         |[O I]     |6363.78 |1   |2.25080e-05 |-3.88271e-07|4.17988e-07 
PNG285.4+01.5|Pe 1-1       |O^+         |[O II]    |3726.03 |3   |1.05037e-04 |-6.82346e-07|4.81758e-07 
PNG285.4+01.5|Pe 1-1       |O^+         |[O II]    |3728.82 |1   |1.06098e-04 |-6.11851e-07|4.55693e-07 
PNG285.4+01.5|Pe 1-1       |O^2+        |[O III]   |4958.91 |1   |3.23508e-04 |-8.40600e-07|8.53659e-07 
PNG285.4+01.5|Pe 1-1       |O^2+        |[O III]   |5006.84 |3   |3.27215e-04 |-1.01236e-06|1.25670e-06 
PNG285.4+01.5|Pe 1-1       |Ne^2+       |[Ne III]  |3868.75 |3   |8.59857e-05 |-5.00510e-07|3.64564e-07 
PNG285.4+01.5|Pe 1-1       |Ne^2+       |[Ne III]  |3967.46 |1   |8.00469e-05 |-4.09700e-07|3.31950e-07 
PNG285.4+01.5|Pe 1-1       |S^+         |[S II]    |6716.44 |1   |6.43950e-07 |-9.39914e-09|1.02293e-08 
PNG285.4+01.5|Pe 1-1       |S^+         |[S II]    |6730.82 |2   |6.43938e-07 |-5.53255e-09|7.50938e-09 
PNG285.4+01.5|Pe 1-1       |S^2+        |[S III]   |6312.10 |1   |3.54226e-06 |-1.40384e-07|1.32921e-07 
PNG285.4+01.5|Pe 1-1       |S^2+        |[S III]   |9068.60 |15  |3.60384e-06 |-5.10579e-08|5.68143e-08 
PNG285.4+01.5|Pe 1-1       |Cl^2+       |[Cl III]  |5537.60 |1   |2.25855e-08 |-5.74651e-09|5.68428e-09 
PNG285.4+01.5|Pe 1-1       |Ar^2+       |[Ar III]  |7135.80 |4   |1.64691e-06 |-1.53968e-08|1.71110e-08 
PNG285.4+01.5|Pe 1-1       |Ar^2+       |[Ar III]  |7751.43 |1   |1.57416e-06 |-1.80891e-08|2.07368e-08 
PNG285.4+01.5|Pe 1-1       |Ar^3+       |[Ar IV]   |4711.37 |1   |1.37384e-07 |-3.93315e-08|4.07764e-08 
PNG285.4+01.5|Pe 1-1       |Ar^4+       |[Ar V]    |4625.53 |1   |1.84438e-05 |-3.14154e-06|3.08670e-06 
PNG285.4+01.5|Pe 1-1       |Fe^2+       |[Fe III]  |4733.91 |1   |2.15046e-06 |-1.49085e-06|1.51693e-06 
PNG285.4+01.5|Pe 1-1       |Fe^2+       |[Fe III]  |4769.40 |6   |7.03263e-07 |-3.02265e-07|3.21517e-07 
PNG285.4+01.5|Pe 1-1       |Fe^2+       |[Fe III]  |4881.11 |5   |2.39168e-06 |-4.35365e-07|4.37706e-07 
PNG285.4+01.5|Pe 1-1       |Fe^2+       |[Fe III]  |5270.40 |7   |3.62076e-07 |-1.35093e-07|1.28109e-07 
PNG011.9+04.2|M 1-32       |N^0         |[N I]     |5199.84 |1   |5.84587e-06 |-1.19558e-07|1.39656e-07 
