-------------|-------------|------------|-------|--------|------------|------------|------------
PNG          |Name         |Ion         |Type   |icf_Ref |Abund       |Abund_Em    |Abund_Ep    
-------------|-------------|------------|-------|--------|------------|------------|------------
PNG017.9-04.8|M 3-30       |Ne/H        |CEL    |DMS14   |1.58778e-04 |-8.72121e-05|9.52807e-05 
PNG017.9-04.8|M 3-30       |S^+/H       |CEL    |        |4.12003e-07 |-4.88867e-09|6.05655e-09 
PNG017.9-04.8|M 3-30       |S^2+/H      |CEL    |        |5.05914e-06 |-1.16324e-07|1.35697e-07 
PNG017.9-04.8|M 3-30       |icf(S)      |CEL    |KB94    |1.94384e+00 |-1.26213e-02|1.33536e-02 
PNG017.9-04.8|M 3-30       |S/H         |CEL    |KB94    |1.06350e-05 |-2.92790e-07|3.29932e-07 
PNG017.9-04.8|M 3-30       |icf(S)      |CEL    |DMS14   |2.46144e+00 |-1.22925e+00|1.13723e+00 
PNG017.9-04.8|M 3-30       |S/H         |CEL    |DMS14   |1.34669e-05 |-7.83312e-06|7.41923e-06 
PNG017.9-04.8|M 3-30       |Cl^2+/H     |CEL    |        |6.00362e-08 |-2.71423e-09|2.85962e-09 
PNG017.9-04.8|M 3-30       |icf(Cl)     |CEL    |L00     |2.10214e+00 |-1.11668e-01|1.01968e-01 
PNG017.9-04.8|M 3-30       |Cl/H        |CEL    |L00     |1.26205e-07 |-8.75125e-09|8.87429e-09 
PNG017.9-04.8|M 3-30       |icf(Cl)     |CEL    |DMS14   |1.53810e+01 |-8.75801e+00|7.56776e+00 
PNG017.9-04.8|M 3-30       |Cl/H        |CEL    |DMS14   |9.23418e-07 |-6.15081e-07|5.52862e-07 
PNG017.9-04.8|M 3-30       |Ar^2+/H     |CEL    |        |1.52199e-06 |-2.59880e-08|2.80008e-08 
PNG017.9-04.8|M 3-30       |Ar^3+/H     |CEL    |        |5.48774e-07 |-1.24633e-08|1.19344e-08 
PNG017.9-04.8|M 3-30       |icf(Ar)     |CEL    |KB94    |1.04999e+00 |-2.08863e-03|2.25261e-03 
PNG017.9-04.8|M 3-30       |Ar/H        |CEL    |KB94    |2.17429e-06 |-4.24319e-08|4.16086e-08 
PNG017.9-04.8|M 3-30       |icf(Ar)     |CEL    |DMS14   |2.19847e+00 |-2.19847e+00|2.01061e+00 
PNG017.9-04.8|M 3-30       |Ar/H        |CEL    |DMS14   |3.34605e-06 |-3.34605e-06|3.38466e-06 
PNG017.9-04.8|M 3-30       |Fe^2+/H     |CEL    |        |2.17899e-06 |-3.67559e-07|3.79787e-07 
PNG017.9-04.8|M 3-30       |icf(Fe)     |CEL    |ITL94   |2.62525e+01 |-5.66147e-01|5.81567e-01 
PNG017.9-04.8|M 3-30       |Fe/H        |CEL    |ITL94   |5.72039e-05 |-1.13518e-05|1.20517e-05 
PNG017.9-04.8|M 3-30       |adf(N^2+)   |ORL/CEL|        |2.24385e+01 |-2.27397e+00|2.36851e+00 
PNG017.9-04.8|M 3-30       |adf(N)      |ORL/CEL|KB94    |2.24385e+01 |-2.84183e+00|2.77590e+00 
PNG017.9-04.8|M 3-30       |adf(N)      |ORL/CEL|DMS14   |2.81732e+01 |-2.81732e+01|1.39754e+04 
PNG017.9-04.8|M 3-30       |adf(O^2+)   |ORL/CEL|        |1.49953e+01 |-1.57593e+00|1.61696e+00 
PNG017.9-04.8|M 3-30       |adf(O)      |ORL/CEL|KB94    |1.49953e+01 |-1.89080e+00|1.96979e+00 
PNG017.9-04.8|M 3-30       |adf(O)      |ORL/CEL|DMS14   |1.51291e+01 |-4.31415e+00|8.19077e+00 
PNG003.1+02.9|Hb 4 (shell) |He^+/H      |ORL    |        |1.03686e-01 |-5.00764e-04|4.70620e-04 
PNG003.1+02.9|Hb 4 (shell) |He^2+/H     |ORL    |        |1.09766e-02 |-2.78904e-05|3.11316e-05 
PNG003.1+02.9|Hb 4 (shell) |He/H        |ORL    |        |1.14663e-01 |-6.06746e-04|5.78779e-04 
PNG003.1+02.9|Hb 4 (shell) |C^2+/H      |ORL    |        |4.09819e-04 |-2.83718e-05|2.35404e-05 
PNG003.1+02.9|Hb 4 (shell) |C^3+/H      |ORL    |        |3.80876e-04 |-7.61048e-05|6.49675e-05 
PNG003.1+02.9|Hb 4 (shell) |icf(C)      |ORL    |WL07    |1.05538e+00 |-4.47515e-04|4.80062e-04 
PNG003.1+02.9|Hb 4 (shell) |C/H         |ORL    |WL07    |8.34483e-04 |-1.15842e-04|1.24632e-04 
PNG003.1+02.9|Hb 4 (shell) |icf(C)      |ORL    |DMS14   |1.77144e+00 |-5.04540e-01|5.10936e-01 
PNG003.1+02.9|Hb 4 (shell) |C/H         |ORL    |DMS14   |7.25968e-04 |-2.76198e-04|2.47896e-04 
PNG003.1+02.9|Hb 4 (shell) |N^2+/H      |ORL    |        |1.52038e-03 |-1.96775e-04|1.66099e-04 
PNG003.1+02.9|Hb 4 (shell) |icf(N)      |ORL    |WL07    |1.12861e+00 |-1.07713e-02|1.11322e-02 
PNG003.1+02.9|Hb 4 (shell) |N/H         |ORL    |WL07    |1.71592e-03 |-2.76057e-04|2.43419e-04 
PNG003.1+02.9|Hb 4 (shell) |O^2+/H      |ORL    |        |5.48745e-03 |-5.90854e-04|6.12579e-04 
PNG003.1+02.9|Hb 4 (shell) |icf(O)      |ORL    |WL07    |1.12861e+00 |-7.16052e-03|6.63613e-03 
PNG003.1+02.9|Hb 4 (shell) |O/H         |ORL    |WL07    |6.19318e-03 |-8.18114e-04|9.12757e-04 
PNG003.1+02.9|Hb 4 (shell) |N^+/H       |CEL    |        |2.65990e-05 |-2.62783e-07|2.29175e-07 
PNG003.1+02.9|Hb 4 (shell) |icf(N)      |CEL    |KB94    |2.03793e+01 |-2.09171e-01|2.07778e-01 
